,IBM,PPG,CSC,COP,BLL,MRO,PPL,DVA,VZ,TIF,BK,BA,BBY,GME,LLY,GD,JNS,HCP,AGN,WY,TE,RRC,AIZ,RSH,CVX,NBL,COH,CHK,SNDK,GWW
HCP,6.768613428635286e-05,0.00010919485350302898,0.00011028086328311087,9.226061595388368e-05,8.875398497295875e-05,0.00012054813245248389,7.016623452297514e-05,7.217737478035451e-05,6.496733482408911e-05,0.00011245335099323804,0.00011265922799084131,0.00010906014397552821,8.932365634640515e-05,7.033149117882304e-05,6.382265723685122e-05,9.141024329341034e-05,0.00017063415129868237,0.00022072107245341014,8.261034629945618e-05,0.00014630719716177912,9.951044669554266e-05,0.00012014903096981728,0.00010408606877415589,0.00010782435479352215,9.251982125382895e-05,0.00011863915702257201,0.00011547617488851704,0.00011548715595174559,0.00012858289822614526,9.71020653365787e-05
AGN,6.336822492776754e-05,9.767016038683038e-05,0.00011128316850426688,8.637068875412017e-05,7.147627556065958e-05,0.00010694778588681948,4.303405845337679e-05,6.405716918363933e-05,5.1273017151402343e-05,0.00010349267615456683,0.00010933787402230345,9.056197114821446e-05,8.484364924385537e-05,7.061010933843291e-05,6.785932881293282e-05,8.47359430330877e-05,0.00017215339183749653,8.261034629945618e-05,0.00023794813857322213,0.00010482809014870674,7.092458575239682e-05,0.00010703225267098444,8.644933324804701e-05,7.413149999053152e-05,8.166128638303903e-05,0.00010727160492433988,0.0001057387956425016,0.00010886178852310282,0.00012700934495312504,8.276721420331768e-05
WY,8.61778610282361e-05,0.00014991922690037171,0.00014776788901337437,0.00011399698275267321,0.0001128175000080203,0.0001588616090388712,6.642749858536664e-05,9.163325720130415e-05,6.973903469097385e-05,0.00015356403491641242,0.0001608906518730369,0.00013477769468094465,0.00012650405954814627,0.00011251962182336856,6.889339371013916e-05,0.00012251566730169395,0.00023769234675794683,0.00014630719716177912,0.00010482809014870674,0.00029503322003736934,0.0001002127607340817,0.00014312450895533676,0.00011932982212768788,0.0001485215150313032,0.00011950362032880527,0.0001590337410994135,0.00015255307502632317,0.00015696582965435722,0.00018994229963246315,0.00012954898823730097
TE,5.272175312943056e-05,8.73203373676964e-05,8.421373740117334e-05,8.058997175411664e-05,6.865780486991757e-05,9.972807652647573e-05,7.055561672461803e-05,5.19964255932142e-05,5.026734073035039e-05,8.467520944259604e-05,9.180871626697448e-05,8.421051790274696e-05,7.235676198195733e-05,5.904183935150754e-05,4.915674166718284e-05,7.688358599242201e-05,0.00014103229192837847,9.951044669554266e-05,7.092458575239682e-05,0.0001002127607340817,0.0001240636893516729,9.644886752222075e-05,8.069615068897677e-05,0.00010102152546271232,7.904287591742208e-05,0.00010175817694982103,8.47123843372175e-05,0.00010079574704436985,9.787533776347216e-05,7.400132766103831e-05
RRC,8.741468895396911e-05,0.00014701951114139453,0.0001524982883563489,0.00016174083324907483,0.00010280180138407311,0.00022336527435650168,6.830555797958313e-05,0.00010049541259396296,5.937509173178747e-05,0.00014206979790755894,0.00013643311121653635,0.00012683265187449563,0.00012522265988635262,9.100940333705883e-05,5.858914040423576e-05,0.00011188841666510549,0.00021631346721875732,0.00012014903096981728,0.00010703225267098444,0.00014312450895533676,9.644886752222075e-05,0.0004892896297077134,0.00012056387309937399,0.00013806779404535894,0.00014659356085835228,0.00024470730647364723,0.00014179116721271367,0.00033084076688926156,0.0002039105497789655,0.00012138145259303204
AIZ,6.56825120133404e-05,0.00011347987599140046,0.00012330549412615944,0.00010073602518995725,8.694438907536375e-05,0.00013100946149061297,5.164381305074382e-05,7.568471112265562e-05,5.85600066432636e-05,0.00011769320783356785,0.0001420507125039232,0.0001170731029960458,0.00010996261460188394,9.22249734953924e-05,6.327774924206373e-05,0.00010359559269003183,0.0001991775512422444,0.00010408606877415589,8.644933324804701e-05,0.00011932982212768788,8.069615068897677e-05,0.00012056387309937399,0.00021453511032308546,0.00012747201741908118,9.811688375536768e-05,0.0001268701625664823,0.00010901503632194529,0.00012874557542891308,0.0001427077191684753,0.00010150190075092918
RSH,7.189809004422462e-05,0.00011672921445335288,0.0001471723347184106,9.568526141465523e-05,8.744693365618333e-05,0.00013511561187922797,6.288021465326121e-05,8.356600662026295e-05,5.175008769885318e-05,0.00014821399186364632,0.0001466174332352018,0.0001226207136165347,0.00031456575652011494,0.00019305348186225775,4.260321552008919e-05,0.00012728808579520238,0.00029565741852201257,0.00010782435479352215,7.413149999053152e-05,0.0001485215150313032,0.00010102152546271232,0.00013806779404535894,0.00012747201741908118,0.0020421272459767424,0.00010118347082595769,0.00012141342842762412,0.0001485051081197563,0.0001839361438457906,0.00016866297092974362,0.00010906709710566825
CVX,7.270381719250277e-05,0.00011760817342348837,0.00011338363735307828,0.00013322033190364942,8.384962559238935e-05,0.00017170878171442915,5.146607763153466e-05,6.651398691165187e-05,5.617259670385965e-05,0.00010918736466225292,0.0001234068418287063,0.00010025890062279993,8.61136513534572e-05,7.752264844308091e-05,6.190923256433233e-05,9.791632801978935e-05,0.00017950805283483554,9.251982125382895e-05,8.166128638303903e-05,0.00011950362032880527,7.904287591742208e-05,0.00014659356085835228,9.811688375536768e-05,0.00010118347082595769,0.00015775876501656385,0.0001615614571577332,0.00010950127077950862,0.0001676070394780195,0.00013460590262155407,9.478337781812685e-05
NBL,9.513474975865916e-05,0.00016227128592431113,0.00016848055029312808,0.0001742533141341533,0.00011836977005531185,0.00024138317234696037,7.075212429956503e-05,9.163069609380582e-05,6.483537478064827e-05,0.00015569915768921377,0.00016430183463977003,0.0001391604724635053,0.00011536527498434861,0.00011487178316913178,7.33605195651462e-05,0.00013102062988862436,0.0002442880412506326,0.00011863915702257201,0.00010727160492433988,0.0001590337410994135,0.00010175817694982103,0.00024470730647364723,0.0001268701625664823,0.00012141342842762412,0.0001615614571577332,0.00033876504403309644,0.00014509725979341165,0.00026567578430653665,0.00019353912096970672,0.00013155179735368914
COH,8.737656612785756e-05,0.0001438627412237208,0.00013236981198482583,0.00011072510413922553,0.00010088120855426748,0.00014971840778880133,5.3325570924748275e-05,8.769453030788858e-05,5.993673805936521e-05,0.0002248009297686997,0.00013604003257808441,0.00013366401385506323,0.0001304849679153668,0.00012955218269041307,6.368347592191178e-05,0.00011440385984939975,0.0002095179959164619,0.00011547617488851704,0.0001057387956425016,0.00015255307502632317,8.47123843372175e-05,0.00014179116721271367,0.00010901503632194529,0.0001485051081197563,0.00010950127077950862,0.00014509725979341165,0.0004163807480387363,0.00014040058755817434,0.0001974637616272053,0.00013276754552271264
CHK,8.949360904434628e-05,0.0001554371680830514,0.00017943633669393854,0.0001849415992567035,0.0001166047408103105,0.0002644625348756795,7.083978624675645e-05,9.534518253122421e-05,5.8288335388887684e-05,0.00016055313815798177,0.00017621916153627183,0.00013211984788638235,0.0001338532334377033,0.00011267138955128911,6.879435784205357e-05,0.00012114163617732981,0.0002447875129067959,0.00011548715595174559,0.00010886178852310282,0.00015696582965435722,0.00010079574704436985,0.00033084076688926156,0.00012874557542891308,0.0001839361438457906,0.0001676070394780195,0.00026567578430653665,0.00014040058755817434,0.0005967345989239214,0.0002072253755312086,0.00012264715927333923
SNDK,0.00010546052851351814,0.00017161099711104411,0.00018340797002496065,0.00013933924262572497,0.00012079902233663935,0.00018949630788190402,6.115363956325846e-05,0.00010466761762408593,6.961071911325243e-05,0.00020642135933531504,0.00017512983289792044,0.00016725415450500594,0.0001711030264511004,0.00014323284245130484,8.445213216680776e-05,0.0001452379864149694,0.00027789816740068,0.00012858289822614526,0.00012700934495312504,0.00018994229963246315,9.787533776347216e-05,0.0002039105497789655,0.0001427077191684753,0.00016866297092974362,0.00013460590262155407,0.00019353912096970672,0.0001974637616272053,0.0002072253755312086,0.0005680792512803625,0.0001506000458409248
GWW,7.111767426907822e-05,0.00011917814013327897,0.00011889794073442399,9.661238488433721e-05,8.956494586988583e-05,0.00012747444786780613,4.837730084359871e-05,7.12650825781045e-05,5.584600291172984e-05,0.00013182909105989883,0.00012786870250217024,0.00011409253762600873,0.00010456966232170728,9.584118538451856e-05,6.058222140007085e-05,0.00010437431644109733,0.00018891469647704464,9.71020653365787e-05,8.276721420331768e-05,0.00012954898823730097,7.400132766103831e-05,0.00012138145259303204,0.00010150190075092918,0.00010906709710566825,9.478337781812685e-05,0.00013155179735368914,0.00013276754552271264,0.00012264715927333923,0.0001506000458409248,0.00020461038356061787
