,FITB,SRE,CTL,JWN,DIS,PMCS,PGR,SWK,GE,CMA,CL,HPQ,PH,COL,MDP,KMB,F,Q,AXP,MIL,DVN,MHS,HSY,RAI,AGN,CAG,BDK,PLD,IP,WMT
CL,0.00019410638905963817,0.00010195654682596648,9.366977621470537e-05,0.0001311791959094173,0.00012359585795162023,0.0001362266134058681,0.00011569892663501406,0.00012293021010957968,9.956891116063696e-05,0.00013990624538034796,0.000181743426904556,0.00010724992872428209,0.00012329935686594115,0.00011012127311799744,0.00010599070990303578,9.126477658991068e-05,0.00011893040448519874,0.00012867538249021983,0.00015132885877440242,8.246555607384333e-05,0.00011360212722518144,9.824211718422397e-05,8.413802175540619e-05,7.526343199740839e-05,0.00011157918505083433,6.663510554167275e-05,0.00010498954412892636,0.00025031824138492986,0.00013267233092554572,7.432647049938958e-05
HPQ,0.0003545403581295246,0.0001547712948119821,0.00013390372243461996,0.0002534232202206718,0.0002091420509432958,0.00032672843900691386,0.0001880059340649659,0.0001954853473409077,0.0001891949188288255,0.00026488872671664814,0.00010724992872428209,0.0004042883960142159,0.00021409115744978134,0.00017988387683230027,0.0001676475212462083,9.04103365218139e-05,0.0002493542224177993,0.00021557610065015147,0.0002889483702232359,0.00011468352296842583,0.00021522608822347657,0.00011158809933016354,0.0001028908786897678,7.889222494444835e-05,0.00015262355929738684,8.351848194207953e-05,0.00019550128234087965,0.0004126852447017085,0.00024307485756325473,9.645721473311691e-05
PH,0.0004462563008189517,0.0001849118883855586,0.00017321237103072926,0.00033650069906640724,0.00024845288154494,0.00032370576194948433,0.00023232323592211495,0.0002912815115902251,0.0002637137040259399,0.0003353616130562639,0.00012329935686594115,0.00021409115744978134,0.00047442877775699226,0.00024091746648396888,0.00022618798195914866,0.00012391863700817168,0.00030965876766969776,0.0002436828275267515,0.000351756868878334,0.0001550945490608383,0.0003015115037510499,0.00015962339335683445,0.00012925773820839513,0.00011273351984396508,0.00019255958287176298,9.323137402014727e-05,0.0002935116934803002,0.0005413484470071264,0.00032884802399012105,0.00012531058273556402
COL,0.0003468852863953286,0.00016548263140767723,0.00015218693320310156,0.00025759795480517354,0.00020902939988577183,0.0002700727855748981,0.00019465556548264897,0.00021632361399514765,0.00022183438313283537,0.0002496826027574037,0.00011012127311799744,0.00017988387683230027,0.00024091746648396888,0.00034542600585159625,0.00019334261969341078,0.00010738150409424243,0.00024497189142960355,0.0002183883254391132,0.0002810547472171975,0.00012834531582234755,0.00023174819531650062,0.00014976542241083236,0.00011557877228662774,9.31652001954167e-05,0.00016581206804049478,9.461361442306523e-05,0.00020548723324118837,0.00045002340694754714,0.0002853688083445374,0.000104619021965896
MDP,0.0004734301655965709,0.0001561707896988976,0.00017558832635055426,0.000338681737858157,0.0002275219027673597,0.0002823420800493666,0.0002099633213765945,0.0002603300186662488,0.0002617730953466373,0.00037542067526953355,0.00010599070990303578,0.0001676475212462083,0.00022618798195914866,0.00019334261969341078,0.00046862222880303796,0.00010433567168631335,0.00028931824900024127,0.000257228588212139,0.0003597939759761188,0.00012680650724337364,0.0001813342544684421,0.00012366418990162156,0.00011159103385662223,8.892053342079058e-05,0.00018627937160799193,9.625659077402467e-05,0.0002711756767874961,0.0005299347078935301,0.00031287095726888144,9.562086833427668e-05
KMB,0.00022167545932480525,9.427121993694978e-05,9.286735338999903e-05,0.0001375086837573088,0.00012302491726301398,0.00012699889516393773,0.00011419567592056648,0.00012441665058725624,0.0001133148858246891,0.00016236541564772168,9.126477658991068e-05,9.04103365218139e-05,0.00012391863700817168,0.00010738150409424243,0.00010433567168631335,0.00015201342405470644,0.00012285005459306705,0.00012627137552983917,0.00015694786110857683,7.484264567125096e-05,0.00011474432420843081,9.354621942805688e-05,8.080399445540372e-05,6.9485877326309e-05,9.558844428039533e-05,5.997429442858635e-05,0.0001179503915018175,0.0002231576899541977,0.00014154403200171967,7.386275229088446e-05
F,0.000637699238722911,0.00017828001500542454,0.00019292967885095404,0.0004850491344012716,0.00028017018179282775,0.0003830445432379288,0.00028293422802519295,0.0003062874501539707,0.0003356304885117583,0.0004398719377402886,0.00011893040448519874,0.0002493542224177993,0.00030965876766969776,0.00024497189142960355,0.00028931824900024127,0.00012285005459306705,0.001290441457193633,0.00035205111442160715,0.0004808911956993572,0.00015358679390946233,0.00023283240463516826,0.00016004573589169655,0.00014925991260401626,0.00010848447822503074,0.00021287169435550653,9.177277933652176e-05,0.00030951097654324827,0.0006689437177372783,0.0004113877684711156,0.00015035738609556562
Q,0.0003880942126622369,0.00020281136049972513,0.00024990203825815894,0.0003077627698165818,0.0002437006970978783,0.00030537396536224176,0.0002522803437892588,0.0002690524215910311,0.0002465494694623668,0.0003523180862445104,0.00012867538249021983,0.00021557610065015147,0.0002436828275267515,0.0002183883254391132,0.000257228588212139,0.00012627137552983917,0.00035205111442160715,0.0008663446094554942,0.00035155705944579454,0.00016306539907848697,0.00025265094812141513,0.00019013767285899985,0.00011567299962316725,0.00013160500153811886,0.00021693405474794376,8.890342119695882e-05,0.0002634998700500563,0.0005562208343814778,0.00030294988409823164,0.00012644282724078124
AXP,0.000895559147833358,0.00022947802147676508,0.00025341523880135624,0.0005050264746333136,0.0003572154298052559,0.00047469063094403486,0.00036904572849227283,0.0003922950835698232,0.0004314454501968046,0.0006687153891538484,0.00015132885877440242,0.0002889483702232359,0.000351756868878334,0.0002810547472171975,0.0003597939759761188,0.00015694786110857683,0.0004808911956993572,0.00035155705944579454,0.0008825511662062617,0.00019613633873430446,0.00034696740926302907,0.00020245344265356328,0.0001802516231055503,0.00013610369047959223,0.0002655268610740799,0.00013374611991245997,0.0003890469316699764,0.0008753259702234132,0.0005068921239212514,0.0001593696041786457
MIL,0.0002481946440495705,0.00011171979984519267,0.00011802299855064227,0.0001706025086920885,0.000137479638926996,0.00020690318582661498,0.00013528371861181013,0.00015492375805037153,0.00013885575562645364,0.0001715364043002615,8.246555607384333e-05,0.00011468352296842583,0.0001550945490608383,0.00012834531582234755,0.00012680650724337364,7.484264567125096e-05,0.00015358679390946233,0.00016306539907848697,0.00019613633873430446,0.0002720814566642375,0.00015209992992675303,0.000106511878923373,8.701568467640037e-05,6.42413928036355e-05,0.0001284620293132601,5.902295566145906e-05,0.00013946348372232624,0.00033278964112360814,0.00017443846615698854,7.046665017954212e-05
DVN,0.00041150754920840654,0.00023008532302485997,0.0001720883470385199,0.00024077972633930407,0.0002600954779912964,0.0002960424719462777,0.00022951551415326016,0.00025940461423894966,0.00023545356556582963,0.00027781987331144465,0.00011360212722518144,0.00021522608822347657,0.0003015115037510499,0.00023174819531650062,0.0001813342544684421,0.00011474432420843081,0.00023283240463516826,0.00025265094812141513,0.00034696740926302907,0.00015209992992675303,0.0007470936856672946,0.0001613196177557393,0.00011156769677200413,0.00013383565631278267,0.00018063925357026184,7.753636423788089e-05,0.0002239189446612832,0.0005557710696829122,0.00036749772351246706,9.642961248351758e-05
MHS,0.00023623190845110587,0.00013317576209889454,0.00012585978993382262,0.00016616241438542086,0.00015298669805122512,0.0001726585347989095,0.00015176151815264876,0.0001680753806610718,0.00014763743758776054,0.00015868704414220185,9.824211718422397e-05,0.00011158809933016354,0.00015962339335683445,0.00014976542241083236,0.00012366418990162156,9.354621942805688e-05,0.00016004573589169655,0.00019013767285899985,0.00020245344265356328,0.000106511878923373,0.0001613196177557393,0.000430427729507844,9.354774473978848e-05,8.570808485063485e-05,0.00013712933216443503,8.082905720618538e-05,0.00014773908909617963,0.00034322327435720105,0.0001686207155935317,8.660520021600651e-05
HSY,0.00023318114389409556,0.00010117184297573174,9.45365995904027e-05,0.00016458424640437123,0.00013331048541365102,0.00015570956259071655,0.00012177426763069994,0.00012580579038944147,0.0001341098496133375,0.00017414553334193017,8.413802175540619e-05,0.0001028908786897678,0.00012925773820839513,0.00011557877228662774,0.00011159103385662223,8.080399445540372e-05,0.00014925991260401626,0.00011567299962316725,0.0001802516231055503,8.701568467640037e-05,0.00011156769677200413,9.354774473978848e-05,0.00024040768589223834,7.124687393514538e-05,0.00011055646029412252,7.703395562349595e-05,0.0001213638713444393,0.00024813263990607016,0.0001426541379558779,7.571516469832018e-05
RAI,0.0001862126899526269,9.085232800005225e-05,8.054358057002298e-05,9.278762441908219e-05,0.00010549944003270963,0.00010467737684216701,0.00010127837707189652,0.00010697995038273656,0.0001084741000309461,0.00014030302453689922,7.526343199740839e-05,7.889222494444835e-05,0.00011273351984396508,9.31652001954167e-05,8.892053342079058e-05,6.9485877326309e-05,0.00010848447822503074,0.00013160500153811886,0.00013610369047959223,6.42413928036355e-05,0.00013383565631278267,8.570808485063485e-05,7.124687393514538e-05,0.00022549593977601502,8.562338292679901e-05,5.402850218552855e-05,9.496792540556473e-05,0.0002180884074455103,0.00011190921358948494,6.259785674356102e-05
AGN,0.0003305894690704146,0.00014369461024204958,0.0001407544234244659,0.00023295061058346833,0.00018115798489325515,0.00023102058149804123,0.00017980375699731867,0.00020094311426932523,0.00020461314586132305,0.00024628202631817264,0.00011157918505083433,0.00015262355929738684,0.00019255958287176298,0.00016581206804049478,0.00018627937160799193,9.558844428039533e-05,0.00021287169435550653,0.00021693405474794376,0.0002655268610740799,0.0001284620293132601,0.00018063925357026184,0.00013712933216443503,0.00011055646029412252,8.562338292679901e-05,0.00038835045552310717,8.319090907113451e-05,0.00018413146424089597,0.0004257321250455691,0.0002443841822306775,9.837820350438702e-05
CAG,0.0001846360775839378,8.032932257959063e-05,8.363175431950227e-05,0.00012145205316414056,9.381366957460075e-05,0.00011082972106415132,8.760620234447523e-05,0.0001056484990052332,9.622813891897486e-05,0.00014284986510543682,6.663510554167275e-05,8.351848194207953e-05,9.323137402014727e-05,9.461361442306523e-05,9.625659077402467e-05,5.997429442858635e-05,9.177277933652176e-05,8.890342119695882e-05,0.00013374611991245997,5.902295566145906e-05,7.753636423788089e-05,8.082905720618538e-05,7.703395562349595e-05,5.402850218552855e-05,8.319090907113451e-05,0.0002058208762104128,0.00010334617830412152,0.00019766691982932427,0.00011183802213234051,5.646430947880529e-05
BDK,0.0004943409110002078,0.00016805440876000856,0.00016893014234369447,0.0004086159840235761,0.00024123640104242055,0.0003469809257824397,0.000237366004882913,0.00034662848696388797,0.0002785627479968507,0.0003925380044528638,0.00010498954412892636,0.00019550128234087965,0.0002935116934803002,0.00020548723324118837,0.0002711756767874961,0.0001179503915018175,0.00030951097654324827,0.0002634998700500563,0.0003890469316699764,0.00013946348372232624,0.0002239189446612832,0.00014773908909617963,0.0001213638713444393,9.496792540556473e-05,0.00018413146424089597,0.00010334617830412152,0.0005848096826972903,0.0006113585291320571,0.00035674190837343885,0.0001326754369148425
PLD,0.0011424045731231187,0.00038450770050940214,0.0003684195324608544,0.0007341196831819637,0.0005686753130732436,0.0007030566206751208,0.000636163269260444,0.0005821332619965842,0.0006351267297896224,0.0008797912221627849,0.00025031824138492986,0.0004126852447017085,0.0005413484470071264,0.00045002340694754714,0.0005299347078935301,0.0002231576899541977,0.0006689437177372783,0.0005562208343814778,0.0008753259702234132,0.00033278964112360814,0.0005557710696829122,0.00034322327435720105,0.00024813263990607016,0.0002180884074455103,0.0004257321250455691,0.00019766691982932427,0.0006113585291320571,0.0025548537473681484,0.0008314060840285256,0.00024741420569676697
IP,0.000668548138358409,0.0002274483487427108,0.00020947482833463934,0.00044597761882204327,0.00031751135426504013,0.0004034656523200987,0.0003317216445137803,0.00035181457657068165,0.0003659231859920233,0.0004749393447441618,0.00013267233092554572,0.00024307485756325473,0.00032884802399012105,0.0002853688083445374,0.00031287095726888144,0.00014154403200171967,0.0004113877684711156,0.00030294988409823164,0.0005068921239212514,0.00017443846615698854,0.00036749772351246706,0.0001686207155935317,0.0001426541379558779,0.00011190921358948494,0.0002443841822306775,0.00011183802213234051,0.00035674190837343885,0.0008314060840285256,0.0008482189193830795,0.00013283357571969472
WMT,0.00021368171675831228,9.242095325031205e-05,9.239093437347496e-05,0.00018095009478378857,0.00011821920231712041,0.00014742669167838276,0.00012555738364304094,0.0001298149677344757,0.0001160698711934038,0.00015579827422624318,7.432647049938958e-05,9.645721473311691e-05,0.00012531058273556402,0.000104619021965896,9.562086833427668e-05,7.386275229088446e-05,0.00015035738609556562,0.00012644282724078124,0.0001593696041786457,7.046665017954212e-05,9.642961248351758e-05,8.660520021600651e-05,7.571516469832018e-05,6.259785674356102e-05,9.837820350438702e-05,5.646430947880529e-05,0.0001326754369148425,0.00024741420569676697,0.00013283357571969472,0.00019701881728445726
