,ETFC,HAS,HOG,LM,UHS,CSCO,ALL,TXN,DFS,NEE,PSA,PH,PVH,AMT,MNST,A,ZTS,MSI,AXP,OMC,URBN,MDLZ,MCD,GILD,EQR,URI,TMO,RRC,CELG,AKAM
PSA,-0.5854705293436748,-0.33479133072209544,-0.5325459965573216,-0.552817149754613,-0.3674962873265525,-0.5197288489940247,-0.45160412749060935,-0.4721685370767015,-0.6185811084797715,0.624090925791837,1.0,-0.6439017164698093,-0.5118330688230079,0.5711241011019292,-0.035579865947827236,-0.4485567769340983,-0.28872944022745783,-0.35229353891942156,-0.6188098671198692,-0.5388707244277985,-0.3968505152466477,0.030295351693408464,0.1036254315909861,-0.2861664584529714,0.7759081507294482,-0.5370781544072775,-0.3678699792326267,-0.44840914905727,-0.16082828278624836,-0.26731140202518494
PH,0.7669733183480829,0.3081091619209738,0.68725801389989,0.7716576361894777,0.29149612369447675,0.7111997204863226,0.5982607091782369,0.7325217943222988,0.7986200922028328,-0.7542575830486684,-0.6439017164698093,1.0,0.6490804981361262,-0.4648837614688407,-0.03702161540388857,0.680878419711903,0.3528157551893411,0.3501191895622647,0.7054423828672064,0.5577305695459158,0.4005136066182267,0.02399205801187997,-0.1717495862233348,0.380524617253198,-0.5240345903019479,0.8806510277229802,0.5480773770203317,0.5815264973313826,0.23232806544483103,0.3961670106102149
PVH,0.5447740860826786,0.29566839653792465,0.5807749301599612,0.5325332131812016,0.24466067639801667,0.4577845934097163,0.24477524914518817,0.41096070018465847,0.533941718147716,-0.6665350437314844,-0.5118330688230079,0.6490804981361262,1.0,-0.45304703043954203,-0.028948548600607492,0.45227648463324227,0.21095708791249715,0.14411758930145907,0.45702842015050793,0.46343387645300105,0.5660882855314359,-0.06745388676605088,-0.27625492797370715,0.2534442145873404,-0.4798351203634578,0.6048774817476541,0.33373126680294984,0.5013466789966817,0.12679801974539698,0.2750785409903704
AMT,-0.4032908477039069,-0.32915338127303934,-0.5190137825705208,-0.3444183965214161,-0.24660362564785998,-0.3012272020223418,-0.2753062718161743,-0.23179892422914344,-0.4577406985845917,0.593028450960379,0.5711241011019292,-0.4648837614688407,-0.45304703043954203,1.0,0.010909147473265894,-0.22147716920735908,-0.07460429802751943,-0.1563471861845999,-0.4458255565757705,-0.4052371494465416,-0.5161757861413863,0.25217872096626515,0.26199567022783343,-0.2150185649467284,0.6219699445151198,-0.34161584233933173,-0.12636336721759708,-0.27612259419574486,-0.09997601536067525,-0.07902046398511312
MNST,0.03896722411010115,0.09287765303251874,-0.03321879208840827,-0.05045760162085955,-0.05312252312109383,0.07053401626794244,0.0370167042786921,0.06374892242308701,0.0021175051124988926,0.058226732743399866,-0.035579865947827236,-0.03702161540388857,-0.028948548600607492,0.010909147473265894,1.0,0.09367772752997768,0.10426061483722143,0.07615880140983058,-0.03578941461772441,0.015303403892863297,-0.017602087179744194,0.20620802131649707,0.06952540929242526,-0.011298848178027874,-0.07470688881705663,-0.03674622713535923,0.0707468852451223,-0.15961529796970722,-0.12611240681376915,0.0012050879409023715
A,0.6596488517724077,0.23465848140115403,0.46497506324935844,0.6026628170867847,0.3783944390112512,0.6510340760122535,0.46132178229964865,0.664343711012087,0.6183830206188732,-0.5499770857961671,-0.4485567769340983,0.680878419711903,0.45227648463324227,-0.22147716920735908,0.09367772752997768,1.0,0.5956929212821386,0.37495617693570654,0.592338575903035,0.425696835858152,0.2433851366836635,0.18519828160127794,-0.004712178112915378,0.516926127796324,-0.2817395785628897,0.6247563730431632,0.8978421494546648,0.23788383694883808,0.40980063130919087,0.4625432254343778
ZTS,0.37329674065452173,0.1280166536657762,0.20791934522735392,0.33099166421832116,0.3976523339050362,0.39415706399090583,0.27791656515700175,0.4194048832751481,0.3259207895738185,-0.35231933069235843,-0.28872944022745783,0.3528157551893411,0.21095708791249715,-0.07460429802751943,0.10426061483722143,0.5956929212821386,1.0,0.31612550435908765,0.3667648150051306,0.16126645045080615,-0.0059030438931945975,0.2411306676537792,-0.0018146940327809654,0.4515845631113499,-0.1919845908318359,0.30345270782290984,0.63406354880947,0.07219672223805192,0.4276760164224879,0.34781888944532363
MSI,0.3846679076587435,0.24241251800624697,0.18887122847033602,0.3170723758834475,0.030768258201823613,0.48029366373931826,0.2493688158369061,0.4672397722010103,0.3422364097207729,-0.31172469178336926,-0.35229353891942156,0.3501191895622647,0.14411758930145907,-0.1563471861845999,0.07615880140983058,0.37495617693570654,0.31612550435908765,1.0,0.35146525349358654,0.2471660112583618,-0.030763820890715946,0.1744508515271963,0.08788794155150152,0.17059106171648086,-0.2791184307256342,0.30622713440438865,0.3557423525521852,-0.0989638051947995,0.08574245505234368,0.3012681660398718
AXP,0.7931118102707285,0.29046604144733806,0.5297523183945787,0.7638158510049801,0.29094493282109457,0.5775726571750742,0.5387386822550536,0.595033239795875,0.9007258396413934,-0.6977435764077352,-0.6188098671198692,0.7054423828672064,0.45702842015050793,-0.4458255565757705,-0.03578941461772441,0.592338575903035,0.3667648150051306,0.35146525349358654,1.0,0.48668976152042503,0.26369833731561315,0.015848710429978995,-0.07221523615537687,0.36680741454314597,-0.48700472524120675,0.6780381340160266,0.5394334374630301,0.2942149622740992,0.27508246800460256,0.37080871939090043
OMC,0.5269498755822595,0.22297348113703871,0.5296158289400152,0.5672716658052299,0.19444775292787936,0.4738534005148189,0.3661667628053485,0.4580123401114142,0.5716877096002143,-0.6068190113385041,-0.5388707244277985,0.5577305695459158,0.46343387645300105,-0.4052371494465416,0.015303403892863297,0.425696835858152,0.16126645045080615,0.2471660112583618,0.48668976152042503,1.0,0.2874963345243015,0.06198161468054478,-0.14055921694676843,0.34862427822365455,-0.4683294915053605,0.5355383734782263,0.32704230527005546,0.1975980601220016,0.22778840466701664,0.343342639839838
