,CCU,PBY,MWD,BK,XLNX,KR,BAX,MEL,GAS,DOV,ADM,LDG,OI,GT,WAG,PBI,ED,ORCL,PKI,STI,AFL,XOM,TIN,AA,FITB,DIS,CCL,AT,CTX,CCK
ADM,-0.10528375047228808,-0.10627020172271738,-0.00022901012583732695,0.05205191700325826,-0.03938778361762056,-0.05386117303125169,-0.03786996261243963,0.06419903234409215,-0.22092858716406244,-0.032087450018046776,1.0,-0.08918526202708076,0.08438642974377887,0.06976089283252129,-0.11188441832067311,-0.1069890808493668,-0.24104614917553102,0.01744168322033439,0.021723775409136385,0.07529949099748671,0.047228077724242284,-0.2787455064222373,-0.035406217089198194,0.007978469760703434,0.10233116222554649,-0.10325721471040418,-0.011462552431708541,-0.13398119112106757,-0.00209363165298503,-0.14412978364170365
LDG,0.06839113311702251,-0.0027155827152265336,0.06579342500956517,0.1444342399843341,0.10079867180096488,-0.015129849582472817,-0.12448439002036575,0.06324401132505124,-0.09847097497149851,0.09596566627081718,-0.08918526202708076,1.0,0.06549096908503677,0.08032006913936746,0.38975276727786506,0.05125997565691075,-0.19727703934282362,0.030741426642044063,0.03416435236316049,0.12723277743070385,0.014671072401625289,-0.03910014319397381,0.1950212070468363,0.0828942508165481,0.053076572564979205,-0.014540869952967543,0.1118903653543828,-0.07564643790209293,0.16051436572477243,0.11668401292525621
OI,0.24163822452980172,0.03801853909452098,0.10629461477500075,0.07087085733969821,0.11260417605373095,-0.042823289308689894,-0.19220460155297056,0.07907313791828963,0.02475472673559968,0.14420415302477796,0.08438642974377887,0.06549096908503677,1.0,0.18823436224167947,-0.15049618779072246,0.3538306675181196,0.04972209380590207,0.08115248779404456,0.06051027381768077,0.04964434052700136,-0.12915809191631733,0.07844233081970112,0.35887170402685725,0.2217631692038386,-0.03458430901765771,0.09836014996612201,0.1229599625809852,0.09326735883342364,0.09530320826266718,0.4298342048847606
GT,0.36844475566099166,0.22063931062462835,0.4114368871046916,0.4239626309697153,0.35655616389568007,0.028247955289800425,-0.01717391966101341,0.41139746592657983,-0.08800878825770686,0.5635140429478178,0.06976089283252129,0.08032006913936746,0.18823436224167947,1.0,0.02174642734428686,0.33143803292464663,-0.03662242952702855,0.29899021565463685,0.2510343664167316,0.413298068524733,0.15793006098540754,0.07298032799603908,0.5621345734781645,0.4721596060896797,0.31397229005798327,0.3282244575588432,0.2632160807016747,0.2535399438304996,0.34036181754543876,0.23339822915505795
WAG,0.03005867342505579,-0.03365463377932311,0.013000021067546988,0.1053205529806427,-0.016733290057097106,0.12933365839944055,-0.011099908994224517,0.018012160067640087,-0.19339842166693266,-0.020695606537062133,-0.11188441832067311,0.38975276727786506,-0.15049618779072246,0.02174642734428686,1.0,-0.12401137681530203,-0.22182762364601316,0.034328276155728414,-0.07638913367656183,0.020215089308087117,0.007272054185391877,-0.14759932418307578,0.08098715941779493,0.0025768417878591623,0.041095379202438685,-0.04467510565996473,0.08491046500186104,-0.1495109012810869,-0.007501515403438938,0.04438554526314458
PBI,0.5578418700516867,0.10860861486006504,0.4884994066703449,0.27611486036247485,0.6175605909194355,-0.20057189289490882,-0.3872070385015859,0.3418605156106109,-0.00027298891123736036,0.5310449838775004,-0.1069890808493668,0.05125997565691075,0.3538306675181196,0.33143803292464663,-0.12401137681530203,1.0,-0.3746971353545325,0.5673495985405035,0.33711264808026997,0.3152849981809371,0.0025174537183839923,-0.10330416177585708,0.40274922674273506,0.3709477444545509,0.1965878401285911,0.42846461904245736,0.3265659827468033,0.36411659665327495,0.3346233938273208,0.29088739261959584
ED,-0.4243689321090383,-0.0901968415177679,-0.4262636964275775,-0.15979586582427677,-0.43137358218939714,0.06733608601578817,0.022604556512764478,-0.23516323854931287,0.26471283050089334,-0.38720958667073024,-0.24104614917553102,-0.19727703934282362,0.04972209380590207,-0.03662242952702855,-0.22182762364601316,-0.3746971353545325,1.0,-0.4947328940128777,-0.37440339210613677,-0.2381582052623715,-0.04334187591085002,0.19694657390643022,-0.1608881714469363,-0.18577491791844208,-0.2395049815382651,-0.40243723898327827,-0.25631358087185135,-0.3846962770796353,-0.21661136212875834,-0.049586016568830334
ORCL,0.5757331403134708,0.12259000586604715,0.7602569470135484,0.42469469589159736,0.8080447057615613,-0.20625386937337184,-0.2959741193798396,0.5011514407722,0.03413330021979023,0.6087225123125599,0.01744168322033439,0.030741426642044063,0.08115248779404456,0.29899021565463685,0.034328276155728414,0.5673495985405035,-0.4947328940128777,1.0,0.5251516726748688,0.41320978375050954,0.12618326616881942,-0.18625586633893257,0.23970129967316445,0.3468262733479983,0.40404892030684825,0.5635827127489091,0.2713014730787648,0.5830081247433687,0.35881067771771236,0.1555513769954527
PKI,0.38693488657731706,0.1563847461173157,0.5298673018217057,0.27994755605737914,0.5549221993744425,-0.19731173667530413,-0.1262908589340876,0.3563291987640633,0.04071177445010281,0.5466000123983511,0.021723775409136385,0.03416435236316049,0.06051027381768077,0.2510343664167316,-0.07638913367656183,0.33711264808026997,-0.37440339210613677,0.5251516726748688,1.0,0.2626305051497817,0.12361688172977527,-0.09356827020998175,0.2421075126109139,0.28339946267120986,0.18587994009772668,0.41653930449454646,0.26313556321424963,0.33619676770975926,0.2996346513917991,0.14717463109290063
STI,0.38216398918873035,0.1764038014750003,0.685355818535968,0.8641484146254772,0.4363442235228981,0.011530887637394004,-0.16094301302904035,0.8965231146966217,-0.06851104796156406,0.5138338198891,0.07529949099748671,0.12723277743070385,0.04964434052700136,0.413298068524733,0.020215089308087117,0.3152849981809371,-0.2381582052623715,0.41320978375050954,0.2626305051497817,1.0,0.5138058608431209,-0.09603736971327564,0.4546404352466513,0.4164823135494695,0.8600309241047671,0.3219583560710063,0.3564985070186669,0.25067606483596183,0.5152405036945972,0.1717865290662624
