,VLO,EK,JNY,HD,ATI,TER,MDP,SPG,JNS,SWK,CINF,ECL,LIZ,GILD,AIV,LLL,AGN,OXY,XRX,RTN,GENZ,PHM,KEY,THC,KLAC,CSX,MHP,INTC,IP,PCL
LLL,0.6651204753738276,0.5542470283328971,0.6963581315613784,0.7182500913050008,0.7707243313838068,0.7140357228331755,0.6661928780830664,0.7357910469483744,0.7184825272215523,0.7607459084987052,0.6627179776404455,0.7308846938155391,0.6634411604109676,0.28882778520779867,0.7422035823640416,1.0,0.6000874220289161,0.6349998504309359,0.708147831518911,0.7171306757916193,0.20106434471616952,0.6845502013322664,0.5786647159394941,0.23140546294589948,0.6651308264965005,0.7606471813131691,0.7248751586730178,0.6855881051465536,0.7178804893005278,0.7460675777842486
AGN,0.5372061552590783,0.563663025761383,0.670655368488831,0.7351590352978428,0.6194381814629224,0.6084916747606912,0.7127179977197893,0.7414747915836165,0.7699336843155183,0.7570313696968992,0.7373758528838665,0.7384942825303403,0.6204787758733493,0.4031886843209946,0.7183605094769506,0.6000874220289161,1.0,0.5217272852240893,0.6647489813005657,0.4590075851699028,0.2942101900177913,0.6924084497856954,0.6717453888047524,0.2986471739038736,0.5431306385546094,0.673701348793354,0.7456655794899368,0.624246204780514,0.696297867974739,0.7266792705325177
OXY,0.895637368939413,0.358697822981524,0.4616325108283255,0.4925745297787858,0.7827169144482533,0.5355012233564647,0.4767177115167829,0.5632213490747057,0.567162668860577,0.6234749208598105,0.5858795166518286,0.6835838619799942,0.42962036900626993,0.33678442112730356,0.5548828937941195,0.6349998504309359,0.5217272852240893,1.0,0.5717137396892161,0.5912182621169512,0.22185461915154558,0.4386286032641102,0.5142773428393603,0.12299370549913903,0.4901105543353677,0.6493393842739731,0.6186150741397644,0.5908363652062655,0.6559594162927506,0.5618633029857064
XRX,0.5767635023973361,0.6569869917166651,0.7697832119047879,0.8144113357385425,0.731806529904193,0.8278988310064924,0.8370255412217924,0.8349130472621695,0.8382180838601714,0.8646649453653894,0.7865865962430929,0.7808988308605618,0.7596867340658838,0.27489100129498995,0.8364686127219956,0.708147831518911,0.6647489813005657,0.5717137396892161,1.0,0.6042226478864031,0.2363805887053794,0.7195502615195944,0.7186780891690316,0.33754611219753067,0.7669709770652731,0.7883773720407856,0.8107981140034349,0.8198722681371694,0.8161885086173252,0.8279932956770765
RTN,0.5787534601348195,0.4301882347390266,0.5145796050420024,0.6045406633373164,0.6652117218178939,0.5915140038994415,0.5457810976110352,0.6186062408040035,0.6411159674514041,0.605365695708202,0.6353185422352375,0.5913729588032114,0.5152305702651611,0.12062392957384695,0.6200094015437905,0.7171306757916193,0.4590075851699028,0.5912182621169512,0.6042226478864031,1.0,0.1774731420154208,0.5479434856609946,0.5988969377157373,0.06661980253491788,0.5364938167666867,0.6215483724343346,0.6517367005709039,0.5853699316694282,0.6086062201293372,0.6345298887226086
GENZ,0.21015224481278344,0.1986868451151365,0.19248479153386192,0.30231236892947916,0.3139207501651228,0.2701414710595037,0.23126453224260649,0.388923577093355,0.33676002085900064,0.28923774893852505,0.3744640375933483,0.27887494415736047,0.150141370532953,0.4291216671408073,0.3545289683468348,0.20106434471616952,0.2942101900177913,0.22185461915154558,0.2363805887053794,0.1774731420154208,1.0,0.33351806039923837,0.3652111025832176,0.038351870156257004,0.24296575743970117,0.2058758504663253,0.3146036011488616,0.30201834157979496,0.22898202371915172,0.35166994229006276
PHM,0.5236100325117132,0.589163301447734,0.6597663464329077,0.8936125177555232,0.6267364146797423,0.7031573940927995,0.6967978501586753,0.7914783511979389,0.7436257830831818,0.8305884382881491,0.7545858447100662,0.7712767217361929,0.6357134397418627,0.38275188562438106,0.7662827938246657,0.6845502013322664,0.6924084497856954,0.4386286032641102,0.7195502615195944,0.5479434856609946,0.33351806039923837,1.0,0.6929977399287106,0.2757675592058967,0.6651058213171391,0.7316046240075219,0.6889814539195236,0.7085099225224665,0.6655211766162719,0.8122928062806952
KEY,0.48868311794643143,0.5874286233936769,0.5952338774752065,0.7595135269776899,0.5588947102202269,0.6357007731148974,0.7458902690245802,0.7988012120742435,0.7849130067663586,0.775190116416045,0.9135653910872793,0.691258864341023,0.5691768811800125,0.31726131056219975,0.7838261135765108,0.5786647159394941,0.6717453888047524,0.5142773428393603,0.7186780891690316,0.5988969377157373,0.3652111025832176,0.6929977399287106,1.0,0.19509175611607207,0.5831498555099853,0.6814668997001536,0.7417414303720169,0.6940761566830634,0.7200570705496016,0.7794757381916394
THC,0.19181986013613173,0.23008833882291216,0.4004117953108738,0.26443672329927864,0.19230433275824987,0.301566299385083,0.3589737614579984,0.3174885653078404,0.3508910981106647,0.2725515943378722,0.2736045385517673,0.2911145363455041,0.34395660447599574,0.01117134900976429,0.3108527263892201,0.23140546294589948,0.2986471739038736,0.12299370549913903,0.33754611219753067,0.06661980253491788,0.038351870156257004,0.2757675592058967,0.19509175611607207,1.0,0.2414981434726901,0.2963667571941796,0.3126861186388071,0.23354172399987597,0.3219330126089277,0.30383779758259766
KLAC,0.5469620128001763,0.5978851406790456,0.625362093343149,0.7306608459030693,0.6904370691019376,0.9125343939501441,0.6808340621451799,0.740735859080286,0.7691493312495404,0.7251729351344969,0.6533915547988394,0.6847993879677977,0.6217399440596925,0.31097263173480266,0.7382880774932187,0.6651308264965005,0.5431306385546094,0.4901105543353677,0.7669709770652731,0.5364938167666867,0.24296575743970117,0.6651058213171391,0.5831498555099853,0.2414981434726901,1.0,0.7022972522004959,0.6716011587070078,0.8679287399314732,0.6892735316419751,0.7503372823109726
CSX,0.6507862733637596,0.6051253079464726,0.666919828562828,0.7849607325790897,0.7728321065450842,0.7589361620288221,0.718536172798174,0.7849621764686381,0.8055750229776081,0.8431601312566589,0.7482380969649862,0.7915223544913014,0.6711672649471445,0.29097502195397507,0.7765758200970728,0.7606471813131691,0.673701348793354,0.6493393842739731,0.7883773720407856,0.6215483724343346,0.2058758504663253,0.7316046240075219,0.6814668997001536,0.2963667571941796,0.7022972522004959,1.0,0.7583477602481243,0.7641961038522948,0.7919568471076368,0.7948966036020906
MHP,0.6022713656017572,0.5836186530856454,0.7147905412839828,0.8036378624109838,0.6993927092634454,0.714085905617402,0.8201052651912816,0.8228836562292353,0.820040093846035,0.8472777892640193,0.8269647461523556,0.8027293948389295,0.7026020709972658,0.3319305982503947,0.820171982055475,0.7248751586730178,0.7456655794899368,0.6186150741397644,0.8107981140034349,0.6517367005709039,0.3146036011488616,0.6889814539195236,0.7417414303720169,0.3126861186388071,0.6716011587070078,0.7583477602481243,1.0,0.7625296729969179,0.8195661741334703,0.8247762047372935
INTC,0.5951485172895009,0.6250056286026481,0.6497899742155739,0.7879770112997494,0.7477695798720824,0.8464413183767753,0.732104051046279,0.8232559842243786,0.8414497078135056,0.7980683713237103,0.7696957223870156,0.7697985295540718,0.6497094551132638,0.3903774178455155,0.8151171962714393,0.6855881051465536,0.624246204780514,0.5908363652062655,0.8198722681371694,0.5853699316694282,0.30201834157979496,0.7085099225224665,0.6940761566830634,0.23354172399987597,0.8679287399314732,0.7641961038522948,0.7625296729969179,1.0,0.7384073977990568,0.8274424910029599
IP,0.6172328232212385,0.6101222916845245,0.7249149182734941,0.7930377704518321,0.724878502293817,0.7475593349296596,0.8042464773274147,0.8382348961393485,0.7975512997537528,0.8487385085452184,0.7963890345485998,0.8068841681256543,0.6966377512135655,0.23389116582909003,0.8455209967172864,0.7178804893005278,0.696297867974739,0.6559594162927506,0.8161885086173252,0.6086062201293372,0.22898202371915172,0.6655211766162719,0.7200570705496016,0.3219330126089277,0.6892735316419751,0.7919568471076368,0.8195661741334703,0.7384073977990568,1.0,0.8393531981736422
PCL,0.5795763156387216,0.6885660307141813,0.7624804834256276,0.8935315381348199,0.7348980817520673,0.783066051426396,0.8576025368385892,0.9733608330959559,0.8631751772600931,0.8896847449318844,0.8733731004783702,0.8573620501071872,0.718841206032456,0.35932076467123863,0.9599301475820723,0.7460675777842486,0.7266792705325177,0.5618633029857064,0.8279932956770765,0.6345298887226086,0.35166994229006276,0.8122928062806952,0.7794757381916394,0.30383779758259766,0.7503372823109726,0.7948966036020906,0.8247762047372935,0.8274424910029599,0.8393531981736422,1.0
